"W1000T","UAA","WineShare","res","x","y"
0,700,0,5000,3030,3535
0,800,0,5000,3035,3535
0,700,0,5000,3060,3535
0,1700,0,5000,3065,3535
0,1900,0,5000,3070,3535
0,2400,0,5000,3075,3535
0,1400,0,5000,3100,3535
0,1800,0,5000,3105,3535
0,1100,0,5000,3110,3535
0,1100,0,5000,3115,3535
0,1500,0,5000,3120,3535
0,2200,0,5000,3125,3535
0,1900,0,5000,3130,3535
0,1700,0,5000,3135,3535
0,900,0,5000,3140,3535
0,1500,0,5000,3145,3535
0,900,0,5000,3150,3535
0,2000,0,5000,3155,3535
0,1600,0,5000,3160,3535
0,2200,0,5000,3165,3535
0,1300,0,5000,3170,3535
0,1800,0,5000,3175,3535
0,1000,0,5000,3180,3535
0,2000,0,5000,3185,3535
0,2200,0,5000,3190,3535
0,1900,0,5000,3195,3535
0,1600,0,5000,3200,3535
0,2300,0,5000,3205,3535
0,1900,0,5000,3210,3535
0,2400,0,5000,3215,3535
0,1800,0,5000,3220,3535
0,2000,0,5000,3225,3535
0,2300,0,5000,3230,3535
0,2100,0,5000,3235,3535
0,2300,0,5000,3240,3535
0,1800,0,5000,3245,3535
0,1700,0,5000,3250,3535
0,1700,0,5000,3255,3535
0,160,0,5000,3020,3530
0,500,0,5000,3025,3530
0,400,0,5000,3030,3530
0,400,0,5000,3035,3530
0,1000,0,5000,3060,3530
0,600,0,5000,3065,3530
0,1600,0,5000,3070,3530
0,2400,0,5000,3075,3530
0,2300,0,5000,3100,3530
0,1100,0,5000,3105,3530
0,1500,0,5000,3110,3530
0,1500,0,5000,3115,3530
0,1300,0,5000,3120,3530
0,1900,0,5000,3125,3530
0,2700,0,5000,3130,3530
0,1900,0,5000,3135,3530
0,600,0,5000,3140,3530
0,1600,0,5000,3145,3530
0,1300,0,5000,3150,3530
0,2300,0,5000,3155,3530
0,1600,0,5000,3160,3530
0,2300,0,5000,3165,3530
0,1500,0,5000,3170,3530
0,1600,0,5000,3175,3530
0,900,0,5000,3180,3530
0,1700,0,5000,3185,3530
0,1400,0,5000,3190,3530
0,2000,0,5000,3195,3530
0,2400,0,5000,3200,3530
0,2500,0,5000,3205,3530
0,2300,0,5000,3210,3530
0,1900,0,5000,3215,3530
0,2500,0,5000,3220,3530
0,2600,0,5000,3225,3530
