"F4000T","UAA","NutsShare","res","x","y"
0,1400,0,5000,3080,3575
0,900,0,5000,3085,3575
0,1500,0,5000,3090,3575
0,1600,0,5000,3095,3575
0,1100,0,5000,3100,3575
0,1400,0,5000,3105,3575
0,1700,0,5000,3110,3575
0,1200,0,5000,3115,3575
0,1100,0,5000,3120,3575
0,1800,0,5000,3125,3575
0,1900,0,5000,3130,3575
0,2000,0,5000,3135,3575
0,2000,0,5000,3140,3575
0,1200,0,5000,3145,3575
0,1900,0,5000,3150,3575
0,1500,0,5000,3155,3575
0,1400,0,5000,3160,3575
0,1400,0,5000,3165,3575
0,1200,0,5000,3170,3575
0,1700,0,5000,3175,3575
0,1600,0,5000,3180,3575
0,1600,0,5000,3185,3575
0,1500,0,5000,3190,3575
0,1600,0,5000,3195,3575
0,1700,0,5000,3200,3575
0,2500,0,5000,3205,3575
0,2300,0,5000,3210,3575
0,2000,0,5000,3215,3575
0,1800,0,5000,3220,3575
0,2100,0,5000,3225,3575
0,2000,0,5000,3230,3575
0,2000,0,5000,3235,3575
0,1400,0,5000,3040,3570
0,2100,0,5000,3045,3570
0,1200,0,5000,3050,3570
0,1400,0,5000,3055,3570
0,900,0,5000,3060,3570
0,1700,0,5000,3065,3570
0,2300,0,5000,3070,3570
0,2100,0,5000,3075,3570
0,1900,0,5000,3080,3570
0,2000,0,5000,3085,3570
0,1600,0,5000,3090,3570
0,2100,0,5000,3095,3570
0,1900,0,5000,3100,3570
0,1000,0,5000,3105,3570
0,1400,0,5000,3110,3570
0,1600,0,5000,3115,3570
0,1600,0,5000,3120,3570
0,1100,0,5000,3125,3570
0,1500,0,5000,3130,3570
0,2000,0,5000,3135,3570
0,1800,0,5000,3140,3570
0,1900,0,5000,3145,3570
0,1600,0,5000,3150,3570
0,1800,0,5000,3155,3570
0,1400,0,5000,3160,3570
0,1500,0,5000,3165,3570
0,1500,0,5000,3170,3570
0,1800,0,5000,3175,3570
0,1600,0,5000,3180,3570
0,1100,0,5000,3185,3570
0,1400,0,5000,3190,3570
0,1800,0,5000,3195,3570
0,2600,0,5000,3200,3570
0,1800,0,5000,3205,3570
0,2000,0,5000,3210,3570
0,1600,0,5000,3215,3570
0,2200,0,5000,3220,3570
0,1800,0,5000,3225,3570
0,2300,0,5000,3230,3570
0,1400,0,5000,3235,3570
0,260,0,5000,3000,3565
0,900,0,5000,3005,3565
0,500,0,5000,3010,3565
0,900,0,5000,3015,3565
